label,message
1,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt,,,"
1,"Geeeee ... Your internet is really bad today, eh ?,,,"
1,"Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B,,,"
1,"Customer place, i wil cal u sir.,,,"
1,"Beautiful truth : Expression of the face could Be seen by everyone... But the depression of heart Could be understood only By the Loved ones.. Gud Ni8;-),,,"
1,"I am not at all happy with what you saying or doing,,,"
1,"That's cause your old. I live to be high.,,,"
1,"Lol I would but despite these cramps I like being a girl.,,,"
1,"Sorry, I'll call later  &lt;#&gt; mins,,,"
1,"Pity, * was in mood for that. So...any other suggestions?,,,"
1,"Hi Harish's rent has been transfred to ur Acnt.,,,"
1,"So that takes away some money worries,,,"
1,"Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*,,,"
1,"Annoying isn't it.,,,"
1,"Nothing. Can...,,,"
1,"\GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI\"""",,,"
1,"Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-),,,"
1,"Sorry man, accidentally left my phone on silent last night and didn't check it til I got up,,,"
1,"R u here yet? I'm wearing blue shirt n black pants.,,,"
1,"Watching tv lor. Nice one then i like lor.,,,"
1,"Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,,,"
1,"No rushing. I'm not working. I'm in school so if we rush we go hungry.,,,"
1,"Well. Balls. Time to make calls,,,"
1,"Can you let me know details of fri when u find out cos I'm not in tom or fri. mentionned chinese. Thanks,,,"
1,"I'll pick you up at about 5.15pm to go to taunton if you still want to come.,,,"
1,"Ay wana meet on sat?ÃÂ_ wkg on sat?,,,"
1,"Oh all have to come ah?,,,"
1,"That's fine, have him give me a call if he knows what he wants or has any questions,,,"
1,"Received, understood n acted upon!,,,"
1,"Oh Howda gud gud.. Mathe en samachara chikku:-),,,"
1,"Not really dude, have no friends i'm afraid :(,,,"
1,"Can not use foreign stamps in this country. Good lecture .,,,"
1,"Leave it. U will always be ignorant.,,,"
1,"Enjoy ur life. . Good night,,,"
1,"Lol where do u come up with these ideas?,,,"
1,"Yo! Howz u? girls never rang after india. L,,,"
1,"Will purchase d stuff today and mail to you. Do you have a po box number?,,,"
1,"Cramps stopped. Going back to sleep,,,"
1,"Onum ela pa. Normal than.,,,"
1,"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon...,,,"
1,"Nt only for driving even for many reasons she is called BBD..thts it chikku, then hw abt dvg cold..heard tht vinobanagar violence hw is the condition..and hw ru ? Any problem?,,,"
1,"Sorry im getting up now, feel really bad- totally rejected that kinda me thing.,,,"
1,"How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.,,,"
1,"Yes just finished watching days of our lives. I love it.,,,"
1,"Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-),,,"
1,"Hi da:)how is the todays class?,,,"
1,"Ok i thk i got it. Then u wan me 2 come now or wat?,,,"
1,"Then u go back urself lor...,,,"
1,"Like  &lt;#&gt; , same question,,,"
1,"Do u noe wat time e place dat sells 4d closes?,,,"
1,"Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx,,,"
1,"Wen did you get so spiritual and deep. That's great,,,"
1,"Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,,,"
1,"Yo theres no class tmrw right?,,,"
1,"\NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT\"""",,,"
1,"You are a very very very very bad girl. Or lady.,,,"
1,"Yes princess! I want to catch you with my big strong hands...,,,"
1,"We r outside already.,,,"
1,"And by when you're done I mean now,,,"
1,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea,,,"
1,"ok. I am a gentleman and will treat you with dignity and respect.,,,"
1,"Tell them u have a headache and just want to use 1 hour of sick time.,,,"
1,"Just wanted to say holy shit you guys weren't kidding about this bud,,,"
1,"The new deus ex game comin early next yr,,,"
1,"How come guoyang go n tell her? Then u told her?,,,"
1,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....,,,"
1,"You have 1 new message. Please call 08712400200.,,,"
1,"Cos darren say ÃÂ_ considering mah so i ask ÃÂ_...,,,"
1,"We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.,,,"
1,"HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN,,,"
1,"No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-),,,"
1,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?,,,"
1,"Prepare to be pounded every night...,,,"
1,"Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can... ,,,"
1,"Yeah, we can probably swing by once my roommate finishes up with his girl,,,"
1,"A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol,,,"
1,"FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline,,,"
1,"Noice. Text me when you're here,,,"
1,"Been running but only managed 5 minutes and then needed oxygen! Might have to resort to the roller option!,,,"
1,"S:-)kallis wont play in first two odi:-),,,"
1,"Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.,,,"
1,"Come to me right now, Ahmad,,,"
1,"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?,,,"
1,"Lol no. U can trust me.,,,"
1,"So when do you wanna gym?,,,"
1,"Ok lor thanx... ÃÂÃÂ in school?,,,"
1,"Oh:)as usual vijay film or its different?,,,"
1,"Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.,,,"
1,"Ok. How many should i buy.,,,"
1,"I like to think there's always the possibility of being in a pub later.,,,"
1,"Ok i am on the way to home hi hi,,,"
1,"Tell me pa. How is pain de.,,,"
1,"Or maybe my fat fingers just press all these buttons and it doesn't know what to do.,,,"
1,"Thank you. And by the way, I just lost.,,,"
1,"Not from this campus. Are you in the library?,,,"
1,"Yeah why not, is the gang all ready,,,"
1,"Oh. U must have taken your REAL Valentine out shopping first.,,,"
1,"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word).,,,"
1,"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up... ,,,"
1,"I wanna watch that movie,,,"
1,"Pansy! You've been living in a jungle for two years! Its my driving you should be more worried about!,,,"
1,"Love that holiday Monday feeling even if I have to go to the dentists in an hour,,,"
1,"If i said anything wrong sorry de:-),,,"
1,"aight we can pick some up, you open before tonight?,,,"
1,"Ok. C u then.,,,"
1,"Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?,,,"
1,"Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen.,,,"
1,"Wait 2 min..stand at bus stop,,,"
1,"Den wat will e schedule b lk on sun?,,,"
1,"Ok... Help me ask if she's working tmr a not?,,,"
1,"Loosu go to hospital. De dont let it careless.,,,"
1,"Oh my God. I'm almost home,,,"
1,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody.,,,"
1,"Theoretically yeah, he could be able to come,,,"
1,"No chikku nt yet.. Ya i'm free,,,"
1,"They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation.,,,"
1,"My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!,,,"
1,"Oops my phone died and I didn't even know. Yeah I like it better.,,,"
1,"Then she buying today? ÃÂÃÂ no need to c meh...,,,"
1,"Haha just kidding, papa needs drugs,,,"
1,"Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*,,,"
1,"Nothing spl..wat abt u and whr ru?,,,"
1,"Its normally hot mail. Com you see!,,,"
1,"if you text on your way to cup stop that should work. And that should be BUS,,,"
1,"Lol yeah at this point I guess not,,,"
1,"Don know. I did't msg him recently.,,,"
1,"R u still working now?,,,"
1,"ITS A LAPTOP TAKE IT WITH YOU.,,,"
1,"No no:)this is kallis home ground.amla home town is durban:),,,"
1,"As usual..iam fine, happy &amp; doing well..:),,,"
1,"I want to send something that can sell fast.  &lt;#&gt; k is not easy money.,,,"
1,"LOL ... No just was busy,,,"
1,"Shop till u Drop, IS IT YOU, either 10K, 5K, ÃÂ¥ÃÂ£500 Cash or ÃÂ¥ÃÂ£100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary,,,"
1," &lt;#&gt;  in mca. But not conform.,,,"
1,"PS U no ur a grown up now right?,,,"
1,"Yar lor... How u noe? U used dat route too?,,,"
1,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...,,,"
1,"U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,,,"
1,"Ok. I.ll do you right later.,,,"
1,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.,,,"
1,"Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.,,,"
1,"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that \ &lt;#&gt;  lac crore\"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m.\"""",,,"
1,"Best line said in Love: . \I will wait till the day I can forget u Or The day u realize that u cannot forget me.\""... Gn"",,,"
1,"Then ÃÂ_ wait 4 me at bus stop aft ur lect lar. If i dun c ÃÂ_ then i go get my car then come back n pick ÃÂ_.,,,"
1,"But i juz remembered i gotta bathe my dog today..,,,"
1,"Hi dear we saw dear. We both are happy. Where you my battery is low,,,"
1,"Oooh I got plenty of those!,,,"
1,"What i mean was i left too early to check, cos i'm working a 9-6.,,,"
1,"Eh ur laptop got no stock lei... He say mon muz come again to take a look c got a not...,,,"
1,"You can never do NOTHING,,,"
1,"Cancel cheyyamo?and get some money back?,,,"
1,"Water logging in desert. Geoenvironmental implications.,,,"
1,"Aight what time you want me to come up?,,,"
1,"So u wan 2 come for our dinner tonight a not?,,,"
1,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-,,,"
1,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!"",,,"
1,"I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!,,,"
1,"Ugh its been a long day. I'm exhausted. Just want to cuddle up and take a nap,,,"
1,"Try to do something dear. You read something for exams,,,"
1,"Hey, a guy I know is breathing down my neck to get him some bud, anyway you'd be able to get a half track to usf tonight?,,,"
1,"Is toshiba portege m100 gd?,,,"
1,"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK.,,,"
1,"Then cant get da laptop? My matric card wif ÃÂ_ lei... ,,,"
1,"Oh god..taken the teeth?is it paining,,,"
1,"She's borderline but yeah whatever.,,,"
1,"This phone has the weirdest auto correct.,,,"
1,"No..but heard abt tat..,,,"
1,"Aight will do, thanks again for comin out,,,"
1,"For many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.,,,"
1,"O shore are you takin the bus,,,"
1,"Omg if its not one thing its another. My cat has worms :/ when does this bad day end?,,,"
1,"Hey i've booked the pilates and yoga lesson already... Haha,,,"
1,"Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.,,,"
1,"I dont know ask to my brother. Nothing problem some thing that. Just i told .,,,"
1,"What time. IÃÂÃÂÃÂ·m out until prob 3 or so,,,"
1,"Oh that was a forwarded message. I thought you send that to me,,,"
1,"Ya but it cant display internal subs so i gotta extract them,,,"
1,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?,,,"
1,"I think steyn surely get one wicket:),,,"
1,"Sorry, I'll call later in meeting.,,,"
1,"HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG,,,"
1,"I dont. Can you send it to me. Plus how's mode.,,,"
1,"Ok. No wahala. Just remember that a friend in need ...,,,"
1,"K, can that happen tonight?,,,"
1,"Where wuld I be without my baby? The thought alone mite break me and I donÃÂ¥ÃÂt wanna go crazy but everyboy needs his lady xxxxxxxx,,,"
1,"So wats ur opinion abt him and how abt is character?,,,"
1,"What time you thinkin of goin?,,,"
1,"Haha... can... But i'm having dinner with my cousin...,,,"
1,"The hair cream has not been shipped.,,,"
1,"But i'm really really broke oh. No amount is too small even  &lt;#&gt; ,,,"
1,"You still at grand prix?,,,"
1,"HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN,,,"
1,"Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed,,,"
1,"Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!,,,"
1,"How are you. Just checking up on you,,,"
1,"hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?,,,"
1,"you are sweet as well, princess. Please tell me your likes and dislikes in bed...,,,"
1,"Well good morning mr . Hows london treatin' ya treacle?,,,"
1,"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part.,,,"
1,"HEY THERE BABE, HOW U DOIN? WOT U UP 2 2NITE LOVE ANNIE X.,,,"
1,"Lol enjoy role playing much?,,,"
1,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh.,,,"
1,"No break time one... How... I come out n get my stuff fr ÃÂ_?,,,"
1,"Do ÃÂ_ noe if ben is going?,,,"
1,"Also where's the piece,,,"
1,"Thanx...,,,"
1,"Get ready to put on your excellent sub face :),,,"
1,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough ÃÂÃÂ_,,,"
1,"Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?,,,"
1,"Hey! Congrats 2u2. id luv 2 but ive had 2 go home!,,,"
1,"Where to get those?,,,"
1,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around,,,"
1,"Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,,,"
1,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.,,,"
1,"Men like shorter ladies. Gaze up into his eyes.,,,"
1,"Its  &lt;#&gt; k here oh. Should i send home for sale.,,,"
1,"I am in bus on the way to calicut,,,"
1,"ÃÂÃÂ thk of wat to eat tonight.,,,"
1,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea,,,"
1,"I have to take exam with march 3,,,"
1,"I not free today i haf 2 pick my parents up tonite...,,,"
1,"I thk 50 shd be ok he said plus minus 10.. Did ÃÂ_ leave a line in between paragraphs?,,,"
1,"Nothing just getting msgs by dis name wit different no's..,,,"
1,"Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,,,"
1,"Please da call me any mistake from my side sorry da. Pls da goto doctor.,,,"
1,"How much u trying to get?,,,"
1,"Reading gud habit.. Nan bari hudgi yorge pataistha ertini kano:-),,,"
1,"Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*,,,"
1,"Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412,,,"
1,"Apo all other are mokka players only,,,"
1,"Can you pls send me that company name. In saibaba colany,,,"
1,"That's good, because I need drugs,,,"
1,"No it will reach by 9 only. She telling she will be there. I dont know,,,"
1,"Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? ,,,"
1,"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):),,,"
1,"jay says he'll put in  &lt;#&gt;,,,"
1,"Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju),,,"
1,"We can make a baby in yo tho,,,"
1,"So what do you guys do.,,,"
1,"I can't, I don't have her number!,,,"
1,"Am watching house ÃÂÃÂÃÂ very entertaining ÃÂÃÂÃÂ am getting the whole hugh laurie thing ÃÂÃÂÃÂ even with the stick ÃÂÃÂÃÂ indeed especially with the stick.,,,"
1,"Oh my god! I've found your number again! I'm so glad, text me back xafter this msgs cst std ntwk chg ÃÂ¥ÃÂ£1.50,,,"
1,", ,  and  picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || Very easy,,,"
1,"Actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though,,,"
1,"I love working from home :),,,"
1,"Aight no rush, I'll ask jay,,,"
1,"Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!,,,"
1,"I'm ok. Will do my part tomorrow,,,"
1,"\Gimme a few\"" was  &lt;#&gt;  minutes ago"",,,"
1,"ÃÂÃÂ eatin later but i'm eatin wif my frens now lei... ÃÂÃÂ going home first? ,,,"
1,"Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other shit to deal with that i'm barely keeping myself together once this gets added to it.,,,"
1,"Never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... Always remember a STUPID FRIEND is here to share... BSLVYL,,,"
1,"And I don't plan on staying the night but I prolly won't be back til late,,,"
1,"That's the way you should stay oh.,,,"
1,"Then we gotta do it after that,,,"
1,"I AM AT THE GAS STATION. GO THERE.,,,"
1,"Pls help me tell sura that i'm expecting a battery from hont. And that if should pls send me a message about how to download movies. Thanks,,,"
1,"Would really appreciate if you call me. Just need someone to talk to.,,,"
1,"Goodmorning, Today i am late for  &lt;#&gt; min.,,,"
1,"Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.,,,"
1,"K, wait chikku..il send aftr  &lt;#&gt; mins,,,"
1,"Tell dear what happen to you. Why you talking to me like an alian,,,"
1,"* Thought I didn't see you.,,,"
1,"Thx. All will be well in a few months,,,"
1,"Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,,,"
1,"No, I decided that only people who care about stuff vote and caring about stuff is for losers,,,"
1,"Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748,,,"
1,"Yes, princess. Are you going to make me moan?,,,"
1,"... Are you in the pub?,,,"
1,"Yeah. I got a list with only u and Joanna if I'm feeling really anti social,,,"
1,"Happy birthday... May all ur dreams come true...,,,"
1,"Yes obviously, but you are the eggs-pert and the potato headÃÂÃÂ_ Speak soon! ,,,"
1,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.,,,"
1,"I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.,,,"
1,"I am waiting for your call sir.,,,"
1,"Ok i shall talk to him,,,"
1,"Sounds like there could be a lot of time spent in that chastity device boy ... *grins* ... Or take your beatings like a good dog. Going to lounge in a nice long bath now ?,,,"
1,"\Life is nothing wen v get everything\"". But \""life is everything wen v miss something \"". Real value of people wil be realized only in their absence.... gud mrng"",,,"
1,"Hai priya are you right. What doctor said pa. Where are you.,,,"
1,"Sent me de webadres for geting salary slip,,,"
1,"Sir, waiting for your letter.,,,"
1,"Gr8. So how do you handle the victoria island traffic. Plus when's the album due,,,"
1,"You flippin your shit yet?,,,"
1,"I'm coming home 4 dinner.,,,"
1,"What's up. Do you want me to come online?,,,"
1,"No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.,,,"
1,"My birthday is on feb  &lt;#&gt;  da. .,,,"
1,"Ha ha ha good joke. Girls are situation seekers.,,,"
1,"Hi. I'm sorry i missed your call. Can you pls call back.,,,"
1,"Dude ive been seeing a lotta corvettes lately,,,"
1,"Sary just need Tim in the bollox &it hurt him a lot so he tol me!,,,"
1,"That one week leave i put know that time. Why.,,,"
1,"Hello,you are to come for an Interview Monday 25th june'18 at No 1 Adeeko Banjo street,Igando phase 1 bus/stop along igando/Lasu Road.time 8:00am. DESCR"
1,"Mum ask ÃÂ_ to buy food home...,,,"
1,"\OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX\"""",,,"
1,"Nope... C ÃÂ_ then...,,,"
1,"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer... ,,,"
1,"I think just yourself ÃÂÃÂ_Thanks and see you tomo,,,"
